lat,lon,name
0.7550512859349819,0.7493886349900564,ПЛОЩАДКИ
0.7550492264464645,0.749365631550515,Н16
0.7550049648966339,0.7491874683404716,НАДЕЖДА
0.7550079319563624,0.7490437404765699,КЕНЧАТБАШИ
0.7550914634143628,0.7491540278320034,КИЛАР
0.7552291698923453,0.7483367599564644,Н17
0.7549025315228346,0.7480797776774009,Н18
0.7549391659838338,0.748032182548699,ПЛОЩАДКИ
0.754667941818074,0.7469477920311424,Н19
0.7551304715231448,0.7466447854197036,РОДНИК МБ СТОЯНКА
0.749596974942867,0.7571215256805276,ПЕРЕПРАВА
0.7492407357892424,0.7573741795430462,Н2
0.7492880167586788,0.7579406610583659,ШТУЛУ НК
0.7491981846620787,0.7579047596356525,ШТУЛУ-ТАУ
0.7493352802748229,0.7574200817023737,ОБЕД
0.7500415975698125,0.756347507063853,НАРЗАН
0.7502171253326855,0.7561900609120307,Н1+Н3
0.7509371434623032,0.7553111480073115,Н4
0.750752138561592,0.7547159907323814,ТУР.ГРУЗИИ
0.7507580726810488,0.7547141930432517,ОБЕД
0.7506232983562097,0.754660628888508,Н5
0.75095173441485,0.7537295829990316,Н6
0.7510210414394466,0.7531126963749143,СПАРТАК
0.7510206923735963,0.7531149653029418,Н7
0.7510036579600967,0.7529788645278712,Н8
0.7512787916633812,0.7518359007606179,ОБЕД
0.7517366264327644,0.7518760433334137,Н9
0.7527018633222874,0.7527732472886939,РОДНИК
0.7527179552579906,0.7527714670528569,Н11
0.7527478527480773,0.7527496329839143,ПЛОЩАДКИ
0.7528287313056148,0.7526796976407869,ПЛОЩАДКИ
0.752880166158671,0.7526704473957513,СТОЛБОВОЙ
0.7528737084404387,0.7527087922794178,СТОЛБОВОЙ2 + ПЛОЩАДКИ
0.7528723470836222,0.7527368222672047,ПУСТОЙ
0.7528743542122618,0.7527545024525273,П.50ЛЕТИЯ КБАСССР
0.7529850255401309,0.7526965924279463,ПЕРЕКУС
0.7530799365448543,0.7526834675519714,ПЛОЩАДКИ
0.7529979584298881,0.7521896615467045,Н12
0.7527448682350564,0.7519964885050937,ТЮТЮРГУ
0.752714778758752,0.7518943692905596,ОБЕД
0.7524524034122998,0.7518597943180776,Н13
0.7528586287957013,0.7509489069814619,Н14
0.7541239052369347,0.7502000036527235,Н15
0.7510183885389836,0.7530105073472099,МВТУ
0.75100423391875,0.7530068596090733,МВТУ нижняя точка
0.7524542709145994,0.7530642634881713,Н10
0.7524134651166877,0.7518659204237521,ШАУРТУ
0.7541006923578831,0.7501164198348454,РОДНИК
0.7549019032043037,0.7480799347570335,ТЮТЮ ЗАП
0.7549187456315856,0.748067298573249,ТЮТЮ ЗАП СЕДЛОВИНА
0.7526289609194315,0.7529430154650353,РЮКЗАК))
0.7550251932626646,0.749097287178021,КЕНЧАТ
0.755088182195369,0.7491434511367362,ЛБЫ
0.7548945379148603,0.7481618605121221,ТЮТЮ 2Я ЗАП
0.754930142631601,0.7479320181029269,КУЛЛУМКОЛ
